Firm,SALES,ROCE,FFTL,GEAR,CLTA,CACL,QACL,WCTA,LAG,AGE,CHAUD,BIG6,FAIL
o1,6762,7.5364,0.1545,0.6233,0.6233,1.5489,0.7356,0.3422,96,74,0,0,0
o2,16149,-1.0712,0.0271,1.2218,1.2218,0.6236,0.3153,-0.4599,287,29,0,1,0
o3,8086,15.2024,0.6163,0.3307,0.3307,2.3553,1.7513,0.4482,64,51,0,1,0
o4,7646,31.2239,0.6312,0.5205,0.4829,1.6397,1.4935,0.3089,286,25,0,0,0
o5,36067,10.9613,0.354,0.3786,0.3786,1.5852,1.1626,0.2216,301,33,0,1,0
o6,3205,-1.979,-0.0103,0.3548,0.3548,1.8835,1.2034,0.3134,314,19,0,1,0
o7,9819,33.8451,0.5326,0.7018,0.7018,1.1864,1.1762,0.1308,249,10,0,1,0
o8,16737,17.9949,0.4388,0.5236,0.4347,1.1748,0.9795,0.076,55,26,0,1,0
o9,4168,-6.7091,0.0426,0.786,0.6715,1.2963,0.6288,0.199,298,57,0,0,0
o10,38917,11.1326,0.1898,0.4019,0.1401,1.1728,1.0867,0.0242,241,14,1,1,0
o11,3813,4.408,0.217,0.5398,0.4533,1.1907,0.8894,0.0864,168,27,0,1,0
o12,4049,9.4607,0.2922,0.6316,0.5297,1.3874,0.8809,0.2052,136,18,0,0,0
o13,6912,24.5325,0.3483,0.7866,0.7866,0.942,0.7063,-0.0457,212,39,0,1,0
o14,11362,-37.35,-0.0814,3.5336,0.6301,1.1944,1.164,0.1225,188,22,0,1,0
o15,24261,9.0815,0.2643,0.5736,0.5072,1.3534,0.444,0.1792,268,25,0,0,0
o16,47679,10.0875,0.2596,0.817,0.3999,1.6964,1.2495,0.2785,271,3,0,1,0
o17,22461,2.637,0.1672,0.1212,0.1212,4.4465,3.3635,0.4176,197,90,0,0,0
o18,24001,-9.2212,0.0051,0.876,0.2761,2.1925,1.0913,0.3293,303,25,0,1,0
o19,4818,-8.8515,-0.0955,0.5081,0.5014,1.6034,1.3363,0.3025,302,28,0,1,0
o20,3518,-2.9022,0.0249,0.7489,0.406,1.2253,0.9207,0.0915,421,36,1,1,0
o21,2857,4.4519,0.1437,0.7228,0.5458,0.9225,0.6929,-0.0423,77,9,0,0,0
o22,9433,6.3359,0.2667,0.4549,0.3983,1.5444,1.2766,0.2169,192,81,0,0,0
o23,103541,14.2607,0.2153,0.7412,0.7412,1.1223,0.7921,0.0906,304,28,1,1,0
o24,3310,6.7887,0.4796,0.5074,0.3426,1.4407,1.3364,0.151,191,51,0,0,0
o25,99520,-7.1057,-0.0101,0.6495,0.1538,1.5268,1.2591,0.081,117,13,1,1,0
o26,6336,4.4826,0.1305,0.7355,0.6198,1.0993,0.4721,0.0616,160,16,0,1,0
o27,5814,8.0062,0.3611,0.4034,0.4034,1.5611,1.2662,0.2263,264,33,0,1,0
o28,3514,-16.803,-0.1064,1.1831,1.1831,0.7944,0.6491,-0.2432,183,6,0,1,0
o29,7864,1.7552,0.1238,0.7569,0.6965,0.5044,0.4414,-0.3452,117,24,0,0,0
o30,37415,-8.3372,-0.026,0.7883,0.7883,0.7976,0.5631,-0.1596,147,40,0,1,0
o31,3691,4.0961,0.1781,0.7286,0.7034,1.1661,0.5598,0.1169,172,16,1,0,1
o32,6398,-11.593,-0.0359,0.8613,0.7081,1.063,0.5592,0.0446,265,3,0,1,1
o33,8604,-16.667,-0.0363,1.0139,1.0139,0.7485,0.5265,-0.255,301,90,0,0,1
o34,17295,5.3741,0.1691,0.8813,0.7585,0.8556,0.5182,-0.1095,309,2,0,1,1
o35,3340,-4.2769,0.0439,0.5763,0.56,0.8433,0.5173,-0.0877,243,17,1,0,1
o36,5574,-0.4819,0.0866,0.8008,0.7772,0.7131,0.5667,-0.223,393,32,0,0,1
o37,3055,-31.254,-0.2121,1.2343,1.2024,0.734,0.5056,-0.3199,360,2,0,0,1
o38,5105,26.5006,0.4277,0.7005,0.7005,1.3217,1.2668,0.2254,296,2,0,1,1
o39,11528,1.3275,0.066,0.7124,0.6377,0.9967,0.9438,-0.0021,295,40,0,0,1
o40,29300,0.0745,0.0683,0.5977,0.4767,1.1994,0.7513,0.0951,233,25,0,0,1
o41,2958,-9.4013,0.0145,1.4865,1.4865,0.4974,0.2847,-0.747,301,11,0,0,1
o42,2978,8.5486,0.3285,0.3898,0.3883,2.0519,1.8493,0.4084,265,9,0,1,1
o43,47237,-2.5559,0.0735,1.0072,0.8516,0.7437,0.4385,-0.2183,86,8,0,1,1
o44,8125,1.0502,0.1358,0.8098,0.7585,0.6738,0.4596,-0.2474,297,59,0,0,1
o45,10339,4.4452,0.1176,0.7461,0.656,1.1399,0.6296,0.0918,144,19,0,0,1
o46,27599,-5.9041,0.0519,0.7977,0.4824,0.8959,0.7514,-0.0502,295,21,0,0,1
o47,8070,13.9864,0.2122,0.9969,0.2986,2.0674,0.7283,0.3188,303,26,1,1,1
o48,48162,6.1787,0.1181,0.9996,0.7437,1.3007,0.907,0.2236,303,34,0,0,1
o49,6953,0.0648,0.1447,0.952,0.4976,1.041,0.5355,0.0204,362,14,1,1,1
o50,3900,-2.684,0.1451,0.6925,0.6672,0.6086,0.4879,-0.2611,289,3,1,0,1
o51,4718,-10.01,-0.0231,0.9967,0.5726,0.7646,0.4307,-0.1348,301,8,0,0,1
o52,4028,-4.9692,0.0309,0.8171,0.7586,1.0696,0.927,0.0528,301,14,1,0,1
o53,5566,-9.4513,-0.0179,0.7722,0.6596,0.7774,0.4643,-0.1468,293,11,0,1,1
o54,13909,-1.4262,0.0642,0.689,0.5916,0.9457,0.312,-0.0321,179,74,0,0,1
o55,3981,-3.6023,0.0333,0.7144,0.5261,0.816,0.6391,-0.0968,283,32,0,0,1
o56,4999,1.676,0.0565,0.9994,0.7112,1.1862,0.7188,0.1324,207,2,1,1,1
o57,2859,-3.5788,0.0341,0.639,0.5742,1.3541,1.2728,0.2033,301,24,0,0,1
o58,28145,0.5269,0.0856,0.9049,0.8618,0.742,0.4457,-0.2223,153,8,1,1,1
o59,3601,-30.779,-0.3283,0.7444,0.7444,1.1202,0.3757,0.0895,243,5,1,1,1
o60,8393,-5.4902,0.0619,0.8307,0.732,0.9182,0.8027,-0.0599,301,14,0,0,1
